site_code,collection_date,richness,shannon,simpson
MR,2018-03-05,6,5.742347492053464,5.444444444444445
MR,2018-04-01,6,1.7955955896610747,1.3856854969771824
MR,2018-06-06,5,4.762203155904597,4.5
MR,2018-07-27,3,2.9999999999999996,3.0000000000000004
MR,2020-01-17,8,2.3082106475191653,1.6279238440616501
MR,2020-05-21,11,4.722922302736979,4.007452777944581
MR,2020-09-10,9,2.548972268013648,1.6503002328336258
MR,2020-11-03,13,6.609560656228345,4.857511615900878
PD,2017-10-04,8,5.754478009129872,4.723214285714286
PD,2017-11-01,8,3.4327155677506402,2.404743083003953
PD,2017-12-04,11,6.132533112698258,5.093545369504209
PD,2018-02-03,7,3.792151661815506,2.62015503875969
PD,2018-03-05,9,4.3573562759657705,2.9552669552669553
PD,2018-03-30,9,1.7915052905441655,1.3002041136756162
PD,2018-05-10,4,3.905740856188111,3.8135593220338984
PD,2018-06-08,12,6.176307268952403,3.7824529991047444
PD,2018-08-01,14,6.215359303903918,4.909515469935785
PD,2018-08-31,12,5.065334079948272,3.5586321296414445
PD,2020-01-16,11,6.3909659373217345,4.646302250803859
PD,2020-05-21,12,5.697401359668188,3.8978805394990363
PD,2020-09-09,12,5.4808253445202135,4.417221183800623
PL,2017-10-10,8,4.603814394579015,3.6852367688022283
PL,2017-11-11,9,3.7151039537790442,2.4692923204821784
PL,2017-12-03,8,4.259684152568097,2.9002338269680434
PL,2018-02-11,7,2.0218026511225533,1.404461911917697
PL,2018-03-02,7,4.419931193091708,3.0854700854700856
PL,2018-04-01,10,4.227300588923582,2.7870058546189314
PL,2018-05-10,9,5.57566303271727,3.864353312302839
PL,2018-06-07,9,3.7440681061617296,2.4410939691444598
PL,2018-07-27,8,6.292111764414631,4.828571428571428
PL,2018-09-25,6,4.2839141352809955,3.4615384615384612
PL,2020-01-15,9,5.548031776971817,4.038781163434904
PL,2020-05-24,12,5.1840805908715195,3.8504717869322342
PL,2020-09-15,12,3.459906356930238,2.273977311790994
PL,2020-11-02,12,3.86441955270654,2.4013303769401326
SF,2017-09-19,7,1.7672077850985604,1.318613986900486
SF,2017-11-05,8,2.137760771346742,1.6042789047777406
SF,2017-12-11,6,2.732435596498457,2.0631850419084463
SF,2018-02-02,5,2.266696300203454,1.826377680424256
SF,2018-04-07,5,4.500921245938728,4.140684410646388
SF,2018-05-12,6,3.396013332417988,2.3047619047619046
SF,2018-06-01,5,2.267988768571904,1.986774544888751
SF,2018-07-01,8,5.541299705024843,4.481481481481483
SF,2018-09-18,6,5.349418023423783,4.764705882352941
SF,2020-01-13,6,2.4084433194924366,1.7466056445461482
SF,2020-05-27,10,2.843053540667027,2.1243747662634536
SF,2020-09-11,6,2.0793121975007485,1.5169942196531792
SF,2020-11-04,6,3.0159427183746477,2.443765903307888
TR,2017-09-25,4,1.2042384361919238,1.0721912350597609
TR,2017-11-05,9,7.154269023117858,6.030769230769231
TR,2017-12-11,3,1.7906599610321092,1.4336043360433606
TR,2018-02-02,6,1.8451143555921565,1.373554582870582
TR,2018-04-07,5,2.3740359393929635,2.094831673779042
TR,2018-06-01,4,3.281732050503135,2.9992756247736323
TR,2018-07-01,8,3.4059272818106074,2.142857142857143
TR,2018-08-31,3,2.586409289858933,2.272727272727273
TR,2020-01-13,8,3.8838381501560457,2.581333333333333
TR,2020-05-27,8,3.622837909730554,2.584977349115885
TR,2020-09-11,7,3.45175712029688,2.5556033555603355
TR,2020-11-04,5,1.5101850616010675,1.1986428805953815
WM,2017-09-30,8,4.383554947222105,3.2071516646115903
WM,2017-11-03,9,1.6655656426764784,1.2713859676659867
WM,2017-12-02,16,7.563207646600154,5.140443109275254
WM,2018-02-09,11,4.614248846447536,2.8944723618090458
WM,2018-03-02,12,4.366912457157409,2.794832041343669
WM,2018-03-31,8,7.715195845677657,7.363636363636363
WM,2018-05-04,7,2.7206794840896404,1.9259259259259263
WM,2018-06-04,7,2.102318750923081,1.4462596732588133
WM,2018-09-01,12,6.791871547338402,4.505747126436781
WM,2020-01-14,6,3.8040032228455174,2.9058295964125556
WM,2020-05-30,6,3.28212388645296,2.4604651162790696
WM,2020-09-08,7,5.887796379090339,5.0625
WM,2020-11-05,9,5.214870147225675,3.6623093681917207
