site_code,collection_date,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com
AR,2018-09-11,H. cyanoguttatum,41,27.5,40.59556626036888,10,Cichlidae,41,27.5,40.59556626036888,10,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,I. punctatus,96.99357142857143,91.429,28.334886528296323,14,Ictaluridae,97.37493333333333,91.97,27.344099753920972,15,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,L. cyanellus,80.96000000000001,80.96000000000001,NA,1,Centrarchidae,61.58692307692308,58.42100000000001,26.81915139933464,104,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,L. gulosus,97,97,NA,1,Centrarchidae,61.58692307692308,58.42100000000001,26.81915139933464,104,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,L. macrochirus,60.416,55.296,28.919482194022258,55,Centrarchidae,61.58692307692308,58.42100000000001,26.81915139933464,104,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,L. megalotis,60.151826086956525,58.42100000000001,21.808772749927286,46,Centrarchidae,61.58692307692308,58.42100000000001,26.81915139933464,104,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,L. oculatus,634.5,634.5,113.84419177103415,2,Lepisosteidae,634.5,634.5,113.84419177103415,2,68.76234013605442,55.296,73.85841553051375,147
AR,2018-09-11,M. salmoides,137.216,137.216,NA,1,Centrarchidae,61.58692307692308,58.42100000000001,26.81915139933464,104,68.76234013605442,55.296,73.85841553051375,147
AR,2020-01-17,C. lutrensis,33,33,2.7386127875258306,9,Leuciscidae,33,33,2.7386127875258306,9,60.535714285714285,56,24.55640208004591,56
AR,2020-01-17,H. cyanoguttatum,48,44,27.2213151776324,3,Cichlidae,48,44,27.2213151776324,3,60.535714285714285,56,24.55640208004591,56
AR,2020-01-17,L. auritus,79.76470588235294,76,27.817551590148767,17,Centrarchidae,66.65116279069767,59,22.998844402574242,43,60.535714285714285,56,24.55640208004591,56
AR,2020-01-17,L. cyanellus,79.75,83,18.661457606521523,4,Centrarchidae,66.65116279069767,59,22.998844402574242,43,60.535714285714285,56,24.55640208004591,56
AR,2020-01-17,L. macrochirus,60.285714285714285,65,12.202653887772197,7,Centrarchidae,66.65116279069767,59,22.998844402574242,43,60.535714285714285,56,24.55640208004591,56
AR,2020-01-17,L. megalotis,51.266666666666666,51,5.687915343285355,15,Centrarchidae,66.65116279069767,59,22.998844402574242,43,60.535714285714285,56,24.55640208004591,56
AR,2020-01-17,N. gyrinus,83,83,NA,1,Ictaluridae,83,83,NA,1,60.535714285714285,56,24.55640208004591,56
AR,2020-05-20,C. lutrensis,51.96774193548387,52,9.257371372651246,31,Leuciscidae,51.96774193548387,52,9.257371372651246,31,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,G. affinis,48,48,NA,1,Poeciliidae,48,48,NA,1,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,H. cyanoguttatum,111.41176470588235,111,43.6463899187685,17,Cichlidae,111.41176470588235,111,43.6463899187685,17,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,I. punctatus,126,126,NA,1,Ictaluridae,126,126,NA,1,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,L. cyanellus,82.19642857142857,79.5,22.017695067919714,56,Centrarchidae,81.42424242424242,77,34.64605019425851,99,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,L. gulosus,121,121,NA,1,Centrarchidae,81.42424242424242,77,34.64605019425851,99,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,L. macrochirus,71.925,67,23.540894586840107,40,Centrarchidae,81.42424242424242,77,34.64605019425851,99,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,L. megalotis,130,130,NA,1,Centrarchidae,81.42424242424242,77,34.64605019425851,99,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,L. oculatus,550,550,NA,1,Lepisosteidae,550,550,NA,1,81.93333333333334,69.5,52.807065149977,150
AR,2020-05-20,M. salmoides,330,330,NA,1,Centrarchidae,81.42424242424242,77,34.64605019425851,99,81.93333333333334,69.5,52.807065149977,150
AR,2020-09-20,C. lutrensis,41.666666666666664,41,2.0816659994661326,3,Leuciscidae,41.666666666666664,41,2.0816659994661326,3,58.81730769230769,46.5,39.59154671545281,104
