site_code,collection_date,family,lowest_taxon,L_mu_com,L_mu_fam,L_mu_spe
EM,2017-12-02,Leuciscidae,N. texanus,58.886755102040816,44.195454545454545,33.99375
EM,2017-12-02,Centrarchidae,P. annularis,58.886755102040816,66.15460606060606,80.13499999999999
EM,2017-12-02,Leuciscidae,P. vigilax,58.886755102040816,44.195454545454545,50.025000000000006
EM,2018-02-09,Clupeidae,D. cepedianum,69.8691198156682,189.507,189.507
EM,2018-02-09,Pecidae,E. gracile,69.8691198156682,46.81818181818182,46.81818181818182
EM,2018-02-09,Poeciliidae,G. affinis,69.8691198156682,29.541666666666668,29.541666666666668
EM,2018-02-09,Centrarchidae,L. cyanellus,69.8691198156682,74.24365306122449,73.876
EM,2018-02-09,Centrarchidae,L. gulosus,69.8691198156682,74.24365306122449,83
EM,2018-02-09,Centrarchidae,L. humilis,69.8691198156682,74.24365306122449,37.923500000000004
EM,2018-02-09,Centrarchidae,L. macrochirus,69.8691198156682,74.24365306122449,69.152
EM,2018-02-09,Centrarchidae,L. megalotis,69.8691198156682,74.24365306122449,75.43979591836735
EM,2018-02-09,Lepisosteidae,L. oculatus,69.8691198156682,400,400
EM,2018-02-09,Ictaluridae,N. gyrinus,69.8691198156682,53.10866666666667,53.10866666666667
EM,2018-02-09,Centrarchidae,P. annularis,69.8691198156682,74.24365306122449,106.502
EM,2018-02-09,Leuciscidae,P. vigilax,69.8691198156682,48.73235294117647,48.73235294117647
EM,2018-03-09,Leuciscidae,C. lutrensis,59.11654430379747,43.996,43.368
EM,2018-03-09,Clupeidae,D. cepedianum,59.11654430379747,229.14600000000002,229.14600000000002
EM,2018-03-09,Pecidae,E. gracile,59.11654430379747,46,46
EM,2018-03-09,Poeciliidae,G. affinis,59.11654430379747,33,33
EM,2018-03-09,Centrarchidae,L. auritus,59.11654430379747,58.604755319148936,43.97983333333333
EM,2018-03-09,Centrarchidae,L. gulosus,59.11654430379747,58.604755319148936,85
EM,2018-03-09,Centrarchidae,L. macrochirus,59.11654430379747,58.604755319148936,63.414857142857144
EM,2018-03-09,Centrarchidae,L. megalotis,59.11654430379747,58.604755319148936,56.094500000000004
EM,2018-03-09,Lepisosteidae,L. oculatus,59.11654430379747,502.5,502.5
EM,2018-03-09,Ictaluridae,N. gyrinus,59.11654430379747,65.39500000000001,65.39500000000001
EM,2018-03-09,Centrarchidae,P. nigromaculatus,59.11654430379747,58.604755319148936,233.356
EM,2018-03-09,Leuciscidae,P. vigilax,59.11654430379747,43.996,44.31
EM,2018-03-31,Leuciscidae,C. lutrensis,43.90720161290323,45.451156250000004,41.382285714285715
EM,2018-03-31,Poeciliidae,G. affinis,43.90720161290323,32.12903225806452,32.12903225806452
EM,2018-03-31,Centrarchidae,L. macrochirus,43.90720161290323,52.39607142857143,60.928
EM,2018-03-31,Centrarchidae,L. megalotis,43.90720161290323,52.39607142857143,51.739769230769234
EM,2018-03-31,Ictaluridae,N. gyrinus,43.90720161290323,72.529,72.529
EM,2018-03-31,Leuciscidae,N. texanus,43.90720161290323,45.451156250000004,35.52
EM,2018-03-31,Leuciscidae,P. vigilax,43.90720161290323,45.451156250000004,48.99
EM,2018-05-04,Leuciscidae,C. lutrensis,83.36019186046512,49.98574285714286,47.64042105263158
EM,2018-05-04,Leuciscidae,C. venusta,83.36019186046512,49.98574285714286,73.633
EM,2018-05-04,Clupeidae,D. cepedianum,83.36019186046512,141.542,141.542
EM,2018-05-04,Poeciliidae,G. affinis,83.36019186046512,28.454545454545453,28.454545454545453
EM,2018-05-04,Centrarchidae,L. cyanellus,83.36019186046512,84.72125423728814,71.346
EM,2018-05-04,Centrarchidae,L. gulosus,83.36019186046512,84.72125423728814,67.5
EM,2018-05-04,Centrarchidae,L. macrochirus,83.36019186046512,84.72125423728814,83.49751351351351
EM,2018-05-04,Centrarchidae,L. megalotis,83.36019186046512,84.72125423728814,86.104
EM,2018-05-04,Lepisosteidae,L. oculatus,83.36019186046512,445,445
EM,2018-05-04,Ictaluridae,N. gyrinus,83.36019186046512,73.718,73.718
EM,2018-05-04,Leuciscidae,P. vigilax,83.36019186046512,49.98574285714286,51.38
EM,2018-06-04,Leuciscidae,C. lutrensis,58.3199375,61.16,61.16
EM,2018-06-04,Clupeidae,D. cepedianum,58.3199375,41.60215384615385,41.60215384615385
EM,2018-06-04,Poeciliidae,G. affinis,58.3199375,33.05263157894737,33.05263157894737
EM,2018-06-04,Centrarchidae,L. cyanellus,58.3199375,62.23171428571429,86.02
EM,2018-06-04,Centrarchidae,L. megalotis,58.3199375,62.23171428571429,61.76161538461539
EM,2018-06-04,Lepisosteidae,L. oculatus,58.3199375,253.33333333333334,253.33333333333334
EM,2018-06-04,Centrarchidae,P. annularis,58.3199375,62.23171428571429,50.666
EM,2018-07-05,Ictaluridae,A. natalis,134.05544444444445,246.71499999999995,246.71499999999995
EM,2018-07-05,Leuciscidae,C. lutrensis,134.05544444444445,44.73866666666667,47.816
EM,2018-07-05,Centrarchidae,L. megalotis,134.05544444444445,65.142,65.142
EM,2018-07-05,Lepisosteidae,L. oculatus,134.05544444444445,565,565
