site_code,collection_date,richness,shannon,simpson
PL,2020-05-24,12,7.225049725957954,5.582289803220036
PL,2020-09-15,12,4.8372245028361185,2.9342700643010238
PL,2020-11-02,12,4.333849839113894,3.2157571945274412
SF,2017-09-19,7,3.9101182525824933,2.950877192982456
SF,2017-11-05,8,3.4247819427566264,2.80266204817345
SF,2017-12-11,6,2.5412915249645214,1.7552511415525112
SF,2018-02-02,5,2.130289760273348,1.576878385384079
SF,2018-04-07,5,4.020307715546555,3.4713114754098364
SF,2018-05-12,6,3.674288112973942,2.930381366777579
SF,2018-06-01,5,2.490707028923247,1.9354838709677422
SF,2018-07-01,8,4.913543959342188,3.4552929085303186
SF,2018-09-18,6,2.919100230208694,2.052285432423545
SF,2020-01-13,6,1.6647570697509204,1.2867822656006644
SF,2020-05-27,10,6.225483362439551,4.993768626388513
SF,2020-09-11,6,3.6107796768062905,2.9641975308641975
SF,2020-11-04,6,2.9580099069319368,2.2981432360742704
TR,2017-09-25,4,1.3252460775824588,1.1271086700666928
TR,2017-11-05,9,3.916267782394103,2.9658932065977073
TR,2017-12-11,3,2.1469623835867977,1.753595519918544
TR,2018-02-02,6,1.7381298970136116,1.3969232622368297
TR,2018-04-07,5,2.3831740858111687,1.9798868749661163
TR,2018-06-01,4,2.8294064461614195,2.506380538163743
TR,2018-07-01,8,1.9555925197600688,1.4125549875163477
TR,2018-08-31,3,1.8946457081379977,1.515151515151515
TR,2020-01-13,8,3.0560218031896196,2.2865853658536586
TR,2020-05-27,8,5.523295318065587,4.0754716981132075
TR,2020-09-11,7,4.541784293373452,3.5057351407716366
TR,2020-11-04,5,1.8794377283574133,1.479087661445452
WM,2017-09-30,8,4.786085337239045,3.1111111111111116
WM,2017-11-03,9,4.429856466229894,3.051903114186851
WM,2017-12-02,16,7.413459596550936,5.302646720368239
WM,2018-02-09,11,6.506119738661026,4.312820512820513
WM,2018-03-02,12,6.327897326149425,4.251572327044025
WM,2018-03-31,8,5.685866013025648,3.9302325581395343
