site_code,collection_date,RR_shannon,RR_simpson,RR_richness,LRR_shannon,LRR_simpson,LRR_richness
SF,2018-07-01,0.36069871340764176,0.1656197850410974,0.33327778703549404,-1.019712258010966,-1.019712258010966,-1.0987789414474307
TR,2018-07-01,-0.5692966266053737,-0.5969028367493693,0.142836737608913,-0.5633536685557892,-0.5633536685557892,-1.9460529959950605
AR,2018-09-11,0.021945867272015473,-0.03297953041121532,0.09999000099990002,-3.819176436366956,-3.819176436366956,-2.3026850879943788
EM,2017-10-10,-0.07896844825910362,-0.006453263893538512,-0.16665277893508876,-2.538706895417465,-2.538706895417465,-1.7918427990893588
PL,2017-10-10,0.13121709585886915,0.21553809399820842,-0.3333055578701775,-2.030902107158595,-2.030902107158595,-1.0986956185294137
EM,2017-11-03,-0.2065764376887323,-0.19518105819174433,0.08332638946754438,-1.5770847767737857,-1.5770847767737857,-2.484989979649304
WM,2017-11-03,-0.21725535652000286,-0.2218828051373184,0,-1.5266818591221651,-1.5266818591221651,-100000
EM,2018-03-09,-0.17661955129733783,-0.0798374988127714,0.2499687539057618,-1.7337572874421723,-1.7337572874421723,-1.3864193533080416
EM,2018-03-31,-0.003674965705224998,0.26202820529628806,-0.1249843769528809,-5.606211478272445,-5.606211478272445,-2.079566533867987
WM,2018-03-31,0.2744887815225067,0.15816886084049664,0.33327778703549404,-1.29284488763817,-1.29284488763817,-1.0987789414474307
EM,2018-05-04,0.042222401601824555,0.011252368747506397,0.428510212826739,-3.164804355142684,-3.164804355142684,-0.8474407073269509
GC,2018-05-04,0.04080268918204119,0.027376179196302086,0,-3.199007288419538,-3.199007288419538,-100000
WM,2018-05-04,0.17464726070210296,0.13510155959961287,0.16663889351774702,-1.744986992352139,-1.744986992352139,-1.7919261220073759
EM,2018-06-04,-0.07826708496672083,-0.012143481806973838,-0.142836737608913,-2.5476281351613435,-2.5476281351613435,-1.9460529959950605
WM,2018-06-04,0.4024947270988927,0.5483389198678889,0.16663889351774702,-0.9100732825847515,-0.9100732825847515,-1.7919261220073759
EM,2018-07-05,-0.11660815655049173,0.13997340505303965,-0.33329630041106545,-2.148936054249138,-2.148936054249138,-1.0987233936068386
GC,2018-07-05,-0.5345947902927595,-0.40321198115601137,-0.72720661758022,-0.6262462203813685,-0.6262462203813685,-0.3185446360774627
MR,2017-10-31,-0.6106742546806648,-0.5197405413418447,-0.4615029613106684,-0.49319159670625573,-0.49319159670625573,-0.7732668083519766
PL,2017-11-11,0.01812008000342573,0.06265905843743207,-0.24997916840263312,-4.010734563176955,-4.010734563176955,-1.3863776909811947
GC,2017-12-03,-0.3230960741487755,-0.5341648228527637,0.08332638946754438,-1.1298055568018712,-1.1298055568018712,-2.484989979649304
PL,2017-12-03,3.483084778671016e-4,0.12228839450453537,-0.3333055578701775,-7.9624220401848405,-7.9624220401848405,-1.0986956185294137
